symbol,start_date,end_date,rows,last_updated
RELIANCE.NS,2020-01-01,2024-12-31,1238,16-06-26 23:10:14
TCS.NS,2020-01-01,2024-12-31,1238,16-06-26 23:10:14
INFY.NS,2020-01-01,2024-12-31,1238,16-06-26 23:10:15
HDFCBANK.NS,2020-01-01,2024-12-31,1238,16-06-26 23:10:15
