Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,522.1845425843054,524.6992064121995,518.1223433733362,519.1378784179688,7642793,0.0,0.0
2020-01-02 00:00:00+05:30,518.4125330945819,524.1189633218469,518.2674313473428,522.861572265625,10264223,0.0,0.0
2020-01-03 00:00:00+05:30,520.346859574846,523.0549726880787,518.6542815000207,521.1689453125,9594690,0.0,0.0
2020-01-06 00:00:00+05:30,519.6215047447083,519.6215047447083,506.6128205532662,508.45050048828125,12534334,0.0,0.0
2020-01-07 00:00:00+05:30,513.866772253729,518.0256672258183,504.53344711196837,505.742431640625,16101835,0.0,0.0
2020-01-08 00:00:00+05:30,499.06876356667186,510.04631837710934,498.1015760403799,508.6922912597656,16094310,0.0,0.0
2020-01-09 00:00:00+05:30,513.286529136822,529.4385756887742,512.8996304401171,528.3746337890625,18934019,0.0,0.0
2020-01-10 00:00:00+05:30,527.0205169871746,528.5679934465019,520.8304930849795,522.5230712890625,12335407,0.0,0.0
2020-01-13 00:00:00+05:30,521.7009823159947,528.1327440329308,520.3468961479856,520.9271850585938,7901800,0.0,0.0
2020-01-14 00:00:00+05:30,518.6059947734109,521.2657606315963,516.6232720310708,519.9600219726562,13939440,0.0,0.0
2020-01-15 00:00:00+05:30,517.542040984465,519.3313733942234,513.2381035580961,518.025634765625,12353176,0.0,0.0
2020-01-16 00:00:00+05:30,516.381481618543,522.2813023468906,515.7044384941968,519.5248413085938,11249232,0.0,0.0
2020-01-17 00:00:00+05:30,516.9617845691237,520.3469412501189,513.1897292258928,514.5921630859375,18312609,0.0,0.0
2020-01-20 00:00:00+05:30,515.5110194223838,526.1500836130897,513.5766441149827,517.30029296875,19159996,0.0,0.0
2020-01-21 00:00:00+05:30,515.4625576776752,522.5230141793963,512.8027922191036,513.6248779296875,13477994,0.0,0.0
2020-01-22 00:00:00+05:30,514.0601963853084,517.3970053273182,503.66292994854064,505.6940002441406,17527408,0.0,0.0
2020-01-23 00:00:00+05:30,504.29161786810863,512.8512041691279,500.0843165587117,510.3848876953125,17061293,0.0,0.0
2020-01-24 00:00:00+05:30,511.88402956783887,519.7666320017483,509.7078575007106,516.3330688476562,17851868,0.0,0.0
2020-01-27 00:00:00+05:30,520.8305666334633,527.1172865649721,514.0602528610691,519.62158203125,38149166,0.0,0.0
2020-01-28 00:00:00+05:30,520.4436215319593,522.861590520739,507.24154627268985,510.8684997558594,24009224,0.0,0.0
2020-01-29 00:00:00+05:30,514.1085744762003,517.2519342832151,508.0636517704025,509.32098388671875,16400827,0.0,0.0
