Date,Open,High,Low,Close,Volume
2020-01-01 00:00:00+05:30,618.184219986664,622.3895548165052,616.123595653111,619.7401733398438,2112415
2020-01-02 00:00:00+05:30,621.4645602966463,623.062557139031,614.7360228516574,617.9320678710938,5658200
2020-01-03 00:00:00+05:30,617.2592642182839,629.1182916963388,617.2592642182839,627.4361572265625,7882938
2020-01-06 00:00:00+05:30,627.5201609681819,633.9963880928626,619.4459371079719,621.4224243164062,6519403
2020-01-07 00:00:00+05:30,620.7075876951653,624.5764762444932,609.857800384513,612.2128295898438,7899363
2020-01-08 00:00:00+05:30,609.7317082867079,613.1380203550798,595.7279181521372,604.0545043945312,8639443
2020-01-09 00:00:00+05:30,606.9982342365573,615.2406828790071,600.7743161588688,611.91845703125,13521186
2020-01-10 00:00:00+05:30,622.7681231962308,624.8287477877989,614.3994955700625,620.8336791992188,9341405
2020-01-13 00:00:00+05:30,639.2110333069456,653.9297084159871,635.0056975615051,650.6074829101562,36952038
2020-01-14 00:00:00+05:30,647.579625512934,653.4670952274895,645.2666909822158,652.3737182617188,11414418
2020-01-15 00:00:00+05:30,650.8598090964978,650.8598090964978,641.0193642733277,645.5610961914062,6047430
2020-01-16 00:00:00+05:30,648.2104694964037,649.7243801151758,639.4213074207928,645.0985107421875,5740586
2020-01-17 00:00:00+05:30,648.2105490598905,650.0609073031379,641.10352042939,645.8134765625,3762957
2020-01-20 00:00:00+05:30,648.9672623195445,651.322290935207,641.6920637311694,646.3179321289062,3887680
2020-01-21 00:00:00+05:30,646.3180806594794,648.042258100666,639.8418531474128,641.313720703125,4448374
2020-01-22 00:00:00+05:30,646.3181104038944,654.3502920249273,644.2574854641315,647.7899780273438,9733935
2020-01-23 00:00:00+05:30,653.5932423472493,660.6582267315861,653.2568462980249,659.6909790039062,12528017
2020-01-24 00:00:00+05:30,652.4578061489128,661.4992775199742,650.6494913408358,658.3452758789062,7540490
2020-01-27 00:00:00+05:30,655.2334113376766,660.069547881193,651.3224795424171,654.4343872070312,3741610
2020-01-28 00:00:00+05:30,656.8733598174657,657.5462031841498,649.3037564392874,654.3501586914062,5121009
2020-01-29 00:00:00+05:30,661.5833351166798,666.7979612049103,659.606848040858,664.190673828125,6832757
2020-01-30 00:00:00+05:30,664.1906976328585,664.1906976328585,654.3502023182101,656.62109375,3859680
