Date,Open,High,Low,Close,Volume
2020-01-01 00:00:00+05:30,1841.4898218052845,1854.9951300772925,1829.5982823655825,1841.150146484375,1354908
2020-01-02 00:00:00+05:30,1851.6396812673222,1851.6396812673222,1825.520769606822,1832.6981201171875,2380752
2020-01-03 00:00:00+05:30,1838.091184888342,1888.2055009273495,1838.091184888342,1869.221435546875,4655761
2020-01-06 00:00:00+05:30,1872.9170370095871,1890.7118308754934,1858.3922913248168,1869.05224609375,3023209
2020-01-07 00:00:00+05:30,1869.0943241526827,1881.1131844835247,1854.909464371279,1873.638671875,2429317
2020-01-08 00:00:00+05:30,1872.9168796571023,1919.6336272222454,1870.4112046711753,1915.5989990234375,5197454
2020-01-09 00:00:00+05:30,1910.0781310467348,1912.7961551729452,1877.1640554144674,1880.8590087890625,3734173
2020-01-10 00:00:00+05:30,1892.4532896805574,1897.549662992085,1875.4653786421325,1880.1795654296875,1915807
2020-01-13 00:00:00+05:30,1883.8317633185686,1884.7659738812758,1855.6741800031211,1860.473388671875,2843893
2020-01-14 00:00:00+05:30,1864.4231600840847,1893.9821655543415,1864.4231600840847,1874.5308837890625,2948452
2020-01-15 00:00:00+05:30,1879.7120414428427,1895.0011588156267,1863.7433662679941,1891.5185546875,2620681
2020-01-16 00:00:00+05:30,1891.5611678193789,1910.2903790842545,1881.4109336023228,1901.6265869140625,3117214
2020-01-17 00:00:00+05:30,1903.2831300331793,1914.155434841021,1879.7124028844921,1884.893798828125,3281059
2020-01-20 00:00:00+05:30,1864.3375954054472,1904.5140331558082,1831.4660399267493,1843.485107421875,5817599
2020-01-21 00:00:00+05:30,1843.1455381500018,1857.2455849789383,1833.037815666606,1844.0799560546875,1902980
2020-01-22 00:00:00+05:30,1852.5316228443685,1877.1640928409236,1846.3309940949832,1874.5308837890625,1773686
2020-01-23 00:00:00+05:30,1881.2562847635886,1888.0242706786876,1859.0366396989582,1865.208740234375,2069866
2020-01-24 00:00:00+05:30,1865.209279507109,1865.209279507109,1847.3740736823015,1858.78173828125,1319430
2020-01-27 00:00:00+05:30,1864.1445233383472,1867.3369890269807,1843.116857571111,1846.7349853515625,1549101
2020-01-28 00:00:00+05:30,1850.7786911491128,1862.5270059181612,1832.0495599599315,1859.0791015625,1743024
2020-01-29 00:00:00+05:30,1860.1439748054502,1861.804015960383,1830.3476182296192,1834.2637939453125,2306761
2020-01-30 00:00:00+05:30,1838.860411432064,1843.1170327548234,1809.0640621727482,1820.003662109375,2098567
2020-01-31 00:00:00+05:30,1821.3229711917156,1825.5371923967668,1763.6033547776103,1769.9456787109375,3287223
2020-02-03 00:00:00+05:30,1832.0499786340665,1868.401486362742,1781.9920659020738,1789.909423828125,4728073
2020-02-04 00:00:00+05:30,1812.46930216148,1819.0244572235588,1776.3732376181772,1794.378662109375,3509339
2020-02-05 00:00:00+05:30,1800.550713643998,1836.0508918196194,1791.441586117532,1827.4100341796875,2439322
2020-02-06 00:00:00+05:30,1826.0902349260505,1850.948857627812,1800.9761734200745,1811.915771484375,2640065
2020-02-07 00:00:00+05:30,1820.982431199721,1831.1983214168304,1803.955947504539,1818.896728515625,2083442
2020-02-10 00:00:00+05:30,1822.6000899334376,1844.8197370470068,1803.95617111334,1840.5205078125,2383032
2020-02-11 00:00:00+05:30,1841.4144957907451,1851.4601642896578,1828.3041844594725,1833.24169921875,1335820
2020-02-12 00:00:00+05:30,1831.283283967762,1860.1430867067834,1830.346744356789,1848.01171875,1620407
2020-02-13 00:00:00+05:30,1849.8851406450226,1870.3595321214311,1848.225099788633,1866.060302734375,1645948
2020-02-14 00:00:00+05:30,1862.6974760920018,1883.1292582794824,1848.2249637092027,1859.46240234375,1500115
2020-02-17 00:00:00+05:30,1870.3166696536043,1887.3857615237255,1864.5702312727813,1875.6800537109375,1774724
2020-02-18 00:00:00+05:30,1872.870812123131,1890.7912298230706,1861.0374877435904,1886.32177734375,2486223
2020-02-19 00:00:00+05:30,1886.3217601222732,1898.453131026817,1864.8258222036961,1869.80615234375,1760463
2020-02-20 00:00:00+05:30,1876.744231883556,1885.1722584745487,1831.4112174368338,1836.1361083984375,2317278
2020-02-24 00:00:00+05:30,1835.4551253774898,1854.992975797518,1793.4847973149003,1800.848876953125,3092877
2020-02-25 00:00:00+05:30,1800.976275279989,1853.0346649546675,1797.1453165285072,1835.58251953125,2674567
2020-02-26 00:00:00+05:30,1833.7522416536813,1842.180267705215,1798.8053432978004,1807.8720703125,2686842
2020-02-27 00:00:00+05:30,1804.7643593801538,1804.7643593801538,1776.03217299273,1792.4627685546875,2349001
2020-02-28 00:00:00+05:30,1760.538575567055,1761.815561961325,1694.1352830650094,1702.7762451171875,4298076
2020-03-02 00:00:00+05:30,1732.444710317085,1748.5772619969289,1690.4743865772034,1703.755126953125,2667076
2020-03-03 00:00:00+05:30,1719.6751402082064,1753.7281132816363,1712.8645455935205,1733.466552734375,2757585
2020-03-04 00:00:00+05:30,1750.3222982127645,1783.0556673281949,1723.931251887572,1773.478271484375,3237002
2020-03-05 00:00:00+05:30,1775.6072357646235,1828.4319556467249,1774.2026336605568,1809.10693359375,3937056
2020-03-06 00:00:00+05:30,1786.0781444966012,1807.9145267581093,1763.603269094782,1801.7850341796875,2595027
2020-03-09 00:00:00+05:30,1766.4978306347193,1770.66923635065,1647.3124348328586,1679.109375,4940975
2020-03-11 00:00:00+05:30,1645.6096862111215,1691.8366320534906,1634.5424715599345,1663.2320556640625,6796449
2020-03-12 00:00:00+05:30,1620.9214855133364,1624.667333259942,1496.9260790331389,1506.71630859375,8728786
2020-03-13 00:00:00+05:30,1436.9504841081166,1549.4104172340597,1282.1371618297587,1537.747314453125,8029720
2020-03-16 00:00:00+05:30,1494.0741052560682,1568.3521483806219,1426.6917679868736,1444.1865234375,7844271
2020-03-17 00:00:00+05:30,1472.7913335379128,1473.6426580081659,1381.8273346756548,1411.4959716796875,5713248
2020-03-18 00:00:00+05:30,1427.5004691171716,1458.7866336641725,1385.742975275671,1408.4307861328125,7258778
2020-03-19 00:00:00+05:30,1337.512113141157,1445.3483338842107,1326.406953752035,1403.242919921875,5135111
2020-03-20 00:00:00+05:30,1397.7973053459116,1602.7504071727049,1395.224672268588,1541.39306640625,8547498
2020-03-23 00:00:00+05:30,1389.221764997717,1500.7025239172867,1387.292290324109,1431.8416748046875,7003490
2020-03-24 00:00:00+05:30,1417.5635438886252,1517.8533006073233,1400.2410874800578,1460.5264892578125,6350865
2020-03-25 00:00:00+05:30,1457.825199892485,1552.155065767881,1440.6743151878675,1500.959716796875,2765520
2020-03-26 00:00:00+05:30,1570.6781675361465,1571.0641252915073,1477.163021536476,1535.8189697265625,4556067
2020-03-27 00:00:00+05:30,1560.7308937380105,1586.4572271512743,1501.0458211553819,1564.58984375,4331250
2020-03-30 00:00:00+05:30,1514.4236377268853,1633.622327219545,1512.3226955038026,1525.1429443359375,8513547
2020-03-31 00:00:00+05:30,1575.65208548601,1590.7448458365106,1526.429016490021,1565.9617919921875,3927593
2020-04-01 00:00:00+05:30,1565.790586806608,1573.3798350023717,1459.540798023729,1465.3292236328125,4941878
2020-04-03 00:00:00+05:30,1492.127150897123,1492.127150897123,1414.9481603334789,1418.5498046875,5735369
2020-04-07 00:00:00+05:30,1466.4008923400602,1531.4456127395867,1462.113170432633,1522.312744140625,5427577
2020-04-08 00:00:00+05:30,1509.2781113167905,1548.7251528625702,1458.6829928124207,1462.4990234375,6285615
2020-04-09 00:00:00+05:30,1501.0882506369821,1525.3997132227692,1484.5805242633048,1514.5517578125,5307397
2020-04-13 00:00:00+05:30,1510.1355902978232,1532.4317432494095,1497.2724251334464,1508.6348876953125,2990438
2020-04-15 00:00:00+05:30,1530.7167057035113,1553.870403772976,1481.6652094434473,1487.9681396484375,4761399
2020-04-16 00:00:00+05:30,1466.3580067370287,1513.4801343842425,1436.429790884263,1471.589111328125,6245533
2020-04-17 00:00:00+05:30,1543.5798731988004,1588.129261555782,1503.2752876208317,1548.8966064453125,9895823
2020-04-20 00:00:00+05:30,1569.306227972019,1569.306227972019,1545.7237573330954,1559.5731201171875,3244282
2020-04-21 00:00:00+05:30,1513.5658791545723,1538.9491726790386,1481.5794308842892,1490.112060546875,5122541
2020-04-22 00:00:00+05:30,1490.1117969374259,1535.004217789718,1474.2472282060796,1517.424560546875,3829836
2020-04-23 00:00:00+05:30,1526.4291192141955,1629.334453093804,1510.007122079764,1610.682861328125,5934366
2020-04-24 00:00:00+05:30,1578.4820752284825,1588.129450584262,1550.26894571038,1559.487548828125,2987102
2020-04-27 00:00:00+05:30,1571.2785644625692,1607.895666570314,1565.0184487951058,1574.9659423828125,3374741
2020-04-28 00:00:00+05:30,1599.3202426133032,1601.8928757113408,1571.5357842183566,1594.2178955078125,2678505
2020-04-29 00:00:00+05:30,1607.038383302634,1640.0967654504395,1586.5002345238574,1634.1796875,4241510
2020-04-30 00:00:00+05:30,1697.9378627584128,1742.5301702651993,1665.5226435061954,1727.480224609375,5915544
