Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,604.345388393747,606.1923924015477,601.7406554576465,605.5293579101562,3673698,0.0,0.0
2020-01-02 00:00:00+05:30,605.7187936863252,609.981083868637,605.7187936863252,609.3890991210938,6137166,0.0,0.0
2020-01-03 00:00:00+05:30,607.2342686142049,608.5603376104458,598.4255468849254,600.6987915039062,10855550,0.0,0.0
2020-01-06 00:00:00+05:30,596.720600771484,597.5730818969894,585.3544940901224,587.69873046875,10890186,0.0,0.0
2020-01-07 00:00:00+05:30,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494,0.0,0.0
2020-01-08 00:00:00+05:30,590.5402151248385,597.7387835308269,587.2725059352362,595.44189453125,11332110,0.0,0.0
2020-01-09 00:00:00+05:30,599.0886549789353,604.2034270944675,598.1888264645892,602.11962890625,9546316,0.0,0.0
2020-01-10 00:00:00+05:30,608.1341038414974,609.4601728526172,603.871813491343,607.4710693359375,9214580,0.0,0.0
2020-01-13 00:00:00+05:30,607.4710726189669,614.0066076489296,604.2980573544421,609.033935546875,7451568,0.0,0.0
2020-01-14 00:00:00+05:30,610.4547343969623,612.1359943771557,605.0084741599063,610.6915283203125,7886290,0.0,0.0
2020-01-15 00:00:00+05:30,609.2233033667563,609.9573297049485,603.3981508197825,608.205078125,11787448,0.0,0.0
2020-01-16 00:00:00+05:30,607.16334918936,611.4019374828233,605.8846272593686,609.8154296875,7150400,0.0,0.0
2020-01-17 00:00:00+05:30,607.0212499779143,608.5130633247333,602.3564210390201,605.3163452148438,16918814,0.0,0.0
2020-01-20 00:00:00+05:30,617.9610470531414,617.9610470531414,593.1687365718038,594.3053588867188,22178450,0.0,0.0
2020-01-21 00:00:00+05:30,591.9847425595085,591.9847425595085,586.4911357107582,589.3089599609375,14984804,0.0,0.0
2020-01-22 00:00:00+05:30,591.0612337852921,594.3526456307169,584.5967492247966,587.6513671875,18368310,0.0,0.0
